word,frequency
(ok;;ok),63
h(an;;bar)n,35
e(r;;er),27
ath,22
m(ed;;ezh),22
{jscap},17
t(il;;isup),16
a{fins},14
{fins}(yrir;;isup),14
at,13
þ(ei;;bar)m,13
{aalig},12
w(ar;;ar),12
en(n;;bar),12
h(onu;;bar)m,11
þa,11
{slong}e(m;;bar),11
h(an;;bar)s,11
þau,10
þ(ei;;bar){rrot},10
j,10
ok,8
þ(at;;bar),7
m(onnu;;bar)m,7
þ(ei;;bar){rrot}a,6
þ(ar;;ar),6
{slong}em,6
v(ar;;ar),6
Maria,5
g(u;d;combcurl),5
h(on;;osup),5
helga,5
g(u;d;combcurl)i,5
þ(es;;bar)si,5
aboti,5
{fins}(ra;;ra),4
o{rrot},4
bædi,4
ha{fins}di,4
hugo,4
ha{fins}(di;;isup),4
gigo,4
abota,4
ætt,3
tok,3
þ(ui;;isup),3
hei(m;;bar)e,3
het,3
{slong}ig,3
h(a;;bar)n{slong},3
heit(ir;;er),3
þeg(ar;;ar),3
s(uo;;osup),3
eda,3
þær,3
g(er;;er)a,3
ha{fins}a,3
{fins}ad(ir;;er),3
h(en;;bar)n(ar;;ar),3
{slong}i(er;;er),3
{slong}kylldi,3
m(un;;bar)di,3
{slong}a,3
þ(via;;bar)t,3
apt(ur;;ur),3
nu,3
yd{rrot},3
e(igi;;isup),3
{fins}(rv;;vsup),3
{slong}in(n;;bar),3
{fins}o{rrot},3
{slong}inu(m;;bar),3
v(ar;;ar)d,3
vm,3
wæri,2
Mathe(us;;us),2
d(ro;;osup)ttin{slong},2
david,2
ab{rrot}aham,2
{fins}y(rr;;rscap),2
þo,2
h(ann;;bar),2
lata,2
þ(en;;bar)na,2
k(onun;;bar)g{rrot},2
ken(n;;bar)i m(adr;;ar),2
{slong}ial{fins}(an;;nsup),2
þ(ei;;bar){rrot}e,2
na{ezh}areth,2
b(or;;bar)g,2
g(u;d;combcurl){slong},2
m(us;;us)teri,2
alla,2
a{slong}t,2
w(oro;;osup),2
{slong}ina,2
ollu(m;;bar),2
þotti,2
g(er;;er)t,2
attv,2
En(n;;bar),2
þav,2
ga{fins}u,2
h{ocurl}{fins}du,2
hin(n;;bar),2
hlut,2
þe{slong}{slong},2
Þau,2
{slong}am(an;;nsup),2
b(ar;;ar)n,2
badu,2
hey(ra;;ra),2
hatid,2
{slong}æmd,2
{slong}in(n;;bar)i,2
mod{rrot},2
hialpadi,2
w(id;;isup),2
dag,2
s(er;;er),2
talandi,2
m(enn;;bar),2
m(un;;bar)k(ar;;ar)n(er;;er),2
þi(er;;er),2
o{sscap},2
heluitis,2
li{fins}nadi,2
Sem,2
dio{fins}larn(er;;er),2
þ(uia;;bar)t,2
v(er;;er),2
G(udi;;isup),2
mod(ur;;ur),2
m(un;;bar)kli{fins}i,2
einkanliga,2
miok,2
þ{ocurl}gn,2
nockuru(m;;bar),2
tima,2
mot,2
hlut(um;;msup),2
alld(ri;;isup),2
pinu,2
godu(m;;bar),2
hi(ar;;ar)ta,2
taladi,2
{fins}y{rscap},2
{slong}tad{fins}e{slong}ti,2
li{fins}nad(ar;;ar),2
{slong}inu,2
ho{fins}du,2
G(uds;;usmod),2
bæna,2
ge{fins}a,2
heilag(ur;;ur),2
v(ær;;er)i,2
hey{rrot}di,2
wirdulig(ur;;ur),2
tek(it;;tsup),2
G(uds;;us),2
þ(es;;bar)sa,2
{fins}atæku(m;;bar),2
Suo,1
seger,1
Ieronimvs,1
prestur,1
{slong}æl,1
dy{rrot}lig,1
mær,1
komin,1
k(onun;;bar)glig{rrot}e,1
þ(vi;;bar),1
{fins}ra{slong}ogu,1
g(u;d;combcurl){slong}pialla man{ezh},1
v{pplig}ha{fins}i,1
{slong}in{slong},1
gud{slong}piall{ezh},1
telia,1
IHC,1
XPC,1
k(onun;;bar)gi,1
h{ocurl}{fins}(ud;;dsup){fins}ed{rrot},1
ne{fins}n(ir;;er),1
k(onun;;bar)g,1
k(onun;;bar)gdo(m;;bar){rrot}in(n;;bar),1
m(er;;er)kir,1
eili{fins}t,1
R(iki;;isup),1
eili{fins}(an;;nsup),1
g(u;d;combcurl)dom,1
all{ezh}ualdanda,1
gud{slong},1
Ok,1
{slong}id(arr;;ar),1
{fins}y{rrot}r,1
taka,1
m(ann;;nsup)dom,1
b(er;;er)a{ezh}t,1
ætt m({ocurl}nnu;;msup),1
heim,1
þui,1
d(ro;;osup)ttni(n;;bar)g,1
k(onun;;bar)ga,1
kyn{slong},1
ken(n;;bar)i m(anna;;asup),1
{fins}æddi,1
þ(an;;bar)n,1
{slong}on,1
guddo(m;;bar){slong},1
velldi,1
pi{slong}l,1
{slong}ine,1
{fins}ærdi,1
{fins}o{rrot}n,1
gudi,1
{fins}er(ur;;ur),1
k(ro;;osup){slong}{slong}in(um;;msup),1
bo{rrot}in,1
n(or;;bar)g,1
{fins}ædd,1
w{pplig},1
{jscap}o{rrot}{slong}ala b(or;;bar)g,1
