sample,sample_name,normal,form
0,part_01_vol1_p1ff,sem,{slong}e(m)
1,part_02_vol1_p473ff,sem,{slong}e(m)
1,part_02_vol1_p473ff,sem,{slong}e(m)
1,part_02_vol1_p473ff,sem,Sem
1,part_02_vol1_p473ff,sem,{slong}e(m)
1,part_02_vol1_p473ff,sem,{slong}e(m)
1,part_02_vol1_p473ff,sem,{slong}em
1,part_02_vol1_p473ff,sem,{slong}e(m)
1,part_02_vol1_p473ff,sem,{slong}em
1,part_02_vol1_p473ff,sem,{slong}e(m)
1,part_02_vol1_p473ff,sem,{slong}e(m)
1,part_02_vol1_p473ff,sem,{slong}e(m)
1,part_02_vol1_p473ff,sem,{slong}em
1,part_02_vol1_p473ff,sem,{slong}e(m)
1,part_02_vol1_p473ff,sem,Sem
1,part_02_vol1_p473ff,sem,{slong}em
1,part_02_vol1_p473ff,sem,{slong}em
1,part_02_vol1_p473ff,sem,{slong}em
1,part_02_vol1_p473ff,sem,{slong}e(m)
2,part_03_vol2_p303ff,sem,{slong}e(m)
3,part_04_imposter_am232fol,sem,{slong}em
3,part_04_imposter_am232fol,sem,{slong}e(m)
