sample,sample_name,form,letter
0,part_01__p1ff,wæri,w
0,part_01__p1ff,v{pplig}ha{fins}i,v
0,part_01__p1ff,wæri,w
0,part_01__p1ff,w(ar),w
0,part_01__p1ff,velldi,v
0,part_01__p1ff,w(ar),w
0,part_01__p1ff,w{pplig},w
0,part_01__p1ff,w(ar),w
0,part_01__p1ff,w(ar),w
0,part_01__p1ff,w(er)ki,w
0,part_01__p1ff,w(oro),w
0,part_01__p1ff,w(ir)dulig({ezh}t),w
0,part_01__p1ff,willdu,w
0,part_01__p1ff,w(ar),w
0,part_01__p1ff,w(ar),w
0,part_01__p1ff,w(oro),w
0,part_01__p1ff,w(ar),w
0,part_01__p1ff,w(ar),w
0,part_01__p1ff,want,w
0,part_01__p1ff,w(er)it,w
0,part_01__p1ff,vet(ur),v
0,part_01__p1ff,w(ar),w
0,part_01__p1ff,wigt,w
0,part_01__p1ff,w(ar),w
0,part_01__p1ff,wæntu,w
1,part_02__p473ff,veitti,v
1,part_02__p473ff,w(id),w
1,part_02__p473ff,w(er),w
1,part_02__p473ff,v(er)alld(ar)in(n)(ar),v
1,part_02__p473ff,v(er),v
1,part_02__p473ff,v(er),v
1,part_02__p473ff,vo(ra),v
1,part_02__p473ff,vegin(n),v
1,part_02__p473ff,v(ar)d,v
1,part_02__p473ff,w(er)andi,w
1,part_02__p473ff,v(ar),v
1,part_02__p473ff,wan(ur;;ur),w
1,part_02__p473ff,v(it),v
1,part_02__p473ff,v(er)da,v
1,part_02__p473ff,v(ar),v
1,part_02__p473ff,v(ær)i,v
1,part_02__p473ff,v(id),v
1,part_02__p473ff,v(ar),v
1,part_02__p473ff,van{slong}tillt(ur;;ur),v
1,part_02__p473ff,v(ar),v
1,part_02__p473ff,visi,v
1,part_02__p473ff,vænta,v
1,part_02__p473ff,v(ær)i,v
1,part_02__p473ff,wirdulig(ur),w
1,part_02__p473ff,vm,v
1,part_02__p473ff,vi{slong}it(er)a,v
1,part_02__p473ff,vitr(azt),v
1,part_02__p473ff,w(ar),w
1,part_02__p473ff,va{rscap}(ir)n(ar),v
1,part_02__p473ff,v(ir)duligi,v
1,part_02__p473ff,vakn(ar),v
1,part_02__p473ff,va{rscap}(ir),v
1,part_02__p473ff,vt(an),v
1,part_02__p473ff,vm,v
1,part_02__p473ff,v(ar)d,v
1,part_02__p473ff,vi{slong}ari,v
1,part_02__p473ff,v(er)a,v
1,part_02__p473ff,vo{rscap}(ar),v
1,part_02__p473ff,vit(ra){ezh}t,v
1,part_02__p473ff,v(ar),v
1,part_02__p473ff,v(ar)ra,v
1,part_02__p473ff,wirdulig(ur;;ur),w
1,part_02__p473ff,v(ar)d,v
1,part_02__p473ff,vm,v
1,part_02__p473ff,w(ar),w
1,part_02__p473ff,vit(ra)d,v
1,part_02__p473ff,Vo{rrot},V
1,part_02__p473ff,v(ar),v
1,part_02__p473ff,vitri,v
1,part_02__p473ff,w(id),w
1,part_02__p473ff,veitt,v
